Framework,Control ID,Control Name,Status,Severity,Evidence,Recommendation
DORA,Art.5-9,ICT risk management framework,Partial,High,"Vendor holds ISO/IEC 27001:2022 certification (cert NL-2022-IS-0847, valid until 30 June 2027, 0 major non-conformities at last recertification July 2025) with a board-approved Information Security Policy reviewed annually. SOC 2 Type II report (KPMG, H1 2025) confirms operating effectiveness of security, availability and confidentiality controls. However, no explicitly labelled 'ICT risk management framework' document is referenced in any of the three files. DORA requires a standalone, documented ICT risk management framework distinct from an ISMS policy. No ICT asset inventory document is cited, and no explicit mapping of controls to DORA Articles 5-16 is provided.","Produce and share a dedicated ICT risk management framework document explicitly aligned with DORA Articles 5-16, including governance structure, risk appetite statement, ICT asset inventory (hardware, software, data), and control mapping. Confirm board-level accountability as required by Art.5."
DORA,Art.10,ICT asset inventory,Gap,High,"No ICT asset inventory (hardware, software, data assets) is referenced or provided in any of the three documents. The SOC 2 report describes infrastructure at a high level (AWS EU-West-1, AES-256, TLS 1.3) and lists sub-processors, but no formal asset register or inventory management process is documented.","Establish and maintain a formal ICT asset inventory covering all hardware, software, and data assets as required by DORA Art.10. Make this inventory available for client audit upon request."
DORA,Art.17-18,ICT-related incident classification and reporting,Partial,High,"A 3-tier severity model (P1/P2/P3) is documented and confirmed by SOC 2 (CC7.2 — no exceptions noted). P1 client notification within 2 hours is confirmed. Regulatory reporting is described as following 'NIS2 timelines' and NCSC contact is registered. However, no reference is made to DORA-specific incident classification criteria (Art.18) or to DORA mandatory reporting timelines: initial report within 4 hours of major incident classification, intermediate report within 72 hours, and final report within 1 month. NIS2 and DORA reporting regimes are distinct. No incident log is explicitly referenced as a maintained artefact.","Update the incident response policy to incorporate DORA Art.17-18 classification criteria and the three-stage DORA reporting timeline (4h initial, 72h intermediate, 1 month final) to competent financial supervisory authorities. Maintain and make available a dedicated ICT incident log per DORA Art.17(1). Clearly distinguish DORA reporting obligations from NIS2 obligations in internal procedures."
DORA,Art.19-23,Major incident reporting to competent authority,Gap,Critical,"The questionnaire states regulatory reporting follows 'NIS2 timelines' with NCSC as the notification body. DORA requires major ICT-related incident reports to be submitted to the relevant financial competent authority (e.g., DNB for Dutch financial entities) — not to NCSC — within specific DORA deadlines. No reference to DORA-aligned major incident reporting to a financial supervisor (DNB/EBA/EIOPA/ESMA) is present in any document.","Establish a DORA-specific major incident reporting procedure targeting the appropriate financial competent authority (e.g., DNB) within DORA Art.19-23 timelines. Differentiate this workflow from NIS2/NCSC reporting. Ensure contractual provisions oblige CloudSafe to notify financial-entity clients in time for those clients to meet their own regulatory reporting deadlines."
DORA,Art.24-25,Digital operational resilience testing — basic testing,Compliant,Info,"Annual external penetration test conducted by Fox-IT, last performed September 2025, confirmed in both the questionnaire and SOC 2 report (CC7.1). Weekly automated vulnerability scanning via Tenable.io with no critical or high vulnerabilities open beyond SLA during the audit period. Critical CVEs remediated within 48 hours, high within 14 days. ISO 27001 surveillance audit conducted June 2025 with only one minor non-conformity (remediated). These activities satisfy DORA Art.24-25 basic testing requirements (vulnerability assessments, network assessments).","Ensure test results and remediation evidence are formally documented and retained, and are available to financial-entity clients and their competent authorities upon request. Consider explicitly labelling these activities as DORA Art.24-25 basic resilience tests in internal records."
DORA,Art.26-27,Threat-Led Penetration Testing (TLPT),Gap,Medium,"Annual external penetration testing by Fox-IT is documented, but no reference to Threat-Led Penetration Testing (TLPT) per DORA Art.26-27 methodology (TIBER-EU or equivalent) is made in any document. TLPT is a structured, intelligence-led, red-team exercise distinct from a standard penetration test and is required every 3 years for significant entities or CTPPs.","Assess whether CloudSafe qualifies as a significant entity or is likely to be designated a CTPP. If so, plan and schedule TLPT exercises in accordance with DORA Art.26-27 and the TIBER-EU framework. Even if TLPT is not yet mandatory for CloudSafe itself, financial-entity clients may contractually require participation in joint TLPT exercises; ensure contractual and operational readiness for this."
DORA,Art.28,ICT third-party risk management — register of arrangements,Partial,Medium,"Sub-processors are identified: AWS (EU-West-1, DPA signed), Cloudflare (CDN/DDoS, no personal data), PagerDuty (on-call alerting, no personal data). The questionnaire states a Supplier Security Policy exists and all suppliers complete annual security questionnaires, with contractual audit rights for material sub-processors. However, no formal register of ICT third-party service arrangements in the format required by DORA Art.28(3) is referenced, and no pre-contract due diligence documentation is provided.","Maintain a formal register of all ICT third-party service arrangements per DORA Art.28(3) and make it available to financial-entity clients and competent authorities. Document pre-contract due diligence for all sub-processors, including risk assessments and concentration risk analysis. Provide evidence of this register upon client request."
DORA,Art.30,Contractual provisions with ICT third-party providers,Partial,High,"The questionnaire references: documented exit plan for critical ICT dependencies, data portability guaranteed, contractual audit rights for material sub-processors, and DPAs signed with AWS. The SOC 2 report confirms AWS and Cloudflare sub-processor relationships. However, no client-facing contract or Master Service Agreement is provided for review. It cannot be confirmed whether CloudSafe's contracts with its financial-entity clients include all DORA Art.30 mandatory provisions: explicit SLA commitments, audit rights granted to the financial entity and its competent authority, data portability and orderly exit clauses, business continuity obligations, and sub-contracting notification obligations.","Provide standard contractual terms or a contract summary demonstrating inclusion of all DORA Art.30 mandatory provisions: SLAs, audit and inspection rights (including by competent authorities), data location and portability, sub-contracting rules, business continuity requirements, and termination/exit rights. Update contracts with existing financial-entity clients to ensure DORA compliance ahead of applicable deadlines."
DORA,Art.28(8)-Art.44,Critical ICT Third-Party Provider (CTPP) designation risk,Partial,High,"CloudSafe Solutions B.V. provides cloud-based document storage, data archival, and API-based data access to financial-sector clients, processing client financial records and personal identifiers. The vendor notes it is 'seeking DORA compliance alignment as financial sector clients require it,' implying a material and growing financial-sector client base. AWS EU-West-1 is the sole infrastructure provider, creating potential concentration risk. If CloudSafe's services are used by a significant number or systemically important financial entities, ESAs (EBA, EIOPA, ESMA) may designate CloudSafe as a CTPP under DORA Art.28(8) and Art.31, subjecting it to direct supervisory oversight. No information is provided on the number, type, or systemic importance of CloudSafe's financial-entity clients.","CloudSafe should assess whether its scale of financial-sector service provision meets CTPP designation criteria (systemic importance, number of financial entities served, substitutability). Proactively engage legal counsel to evaluate CTPP risk. Begin preparing for direct oversight requirements (Art.31-44) including oversight fees, information requests, and inspection readiness. Disclose the extent of the financial-sector client base in future assessments."
DORA,Art.11,Business continuity policy for ICT services,Compliant,Info,"Board-approved Business Continuity Plan is documented. RTO of 4 hours and RPO of 1 hour are stated and validated by testing (full DR failover March 2025 — all systems restored within 3.5 hours, within RTO). Recovery testing conducted quarterly. 90-day encrypted backups stored in a separate EU region (AWS EU-West-2, London). BC plan tested via tabletop exercise Q2 2025. SOC 2 A1.1 (Availability — Capacity Management) confirms 99.97% uptime during audit period with no exceptions.",Ensure the Business Continuity Plan explicitly references ICT service continuity in the context of DORA Art.11 and covers scenarios involving failure of critical sub-processors (AWS concentration risk). Document and retain BCP test results for client and regulatory review.
ISO 27001,A.5.19,Information security in supplier relationships,Compliant,Low,"Vendor questionnaire states: 'Supplier Security Policy: Documented; all suppliers complete annual security questionnaire.' SOC 2 report confirms sub-processors (AWS, Cloudflare, PagerDuty) are identified with defined roles. DPA signed with AWS.",No immediate action required. Confirm that the supplier security policy covers all Annex A-relevant controls and is reviewed at least annually.
ISO 27001,A.5.20,Addressing security within supplier agreements,Compliant,Low,Vendor questionnaire confirms DPA signed with AWS. Sub-supplier audit rights are contractually granted for material sub-processors. Exit strategy and data portability are documented. SOC 2 report confirms AWS and Cloudflare are under formal agreements.,"Verify that security requirements in sub-processor agreements explicitly reference relevant ISO 27001 controls and NIS2 obligations, particularly for PagerDuty where no DPA mention is provided."
ISO 27001,A.5.21,ICT supply chain security,Partial,Medium,"Vendor questionnaire identifies AWS and Cloudflare as sub-processors with DPAs and defined scopes. SOC 2 report adds PagerDuty as a sub-processor. However, no evidence of a formal ICT supply chain risk assessment or supply chain security programme beyond annual questionnaires is provided.","Implement and document a formal ICT supply chain risk assessment process. Ensure all ICT dependencies, including PagerDuty, are covered by appropriate contractual security requirements and periodic risk reviews."
ISO 27001,A.5.22,"Monitoring, review and change management of supplier services",Partial,Medium,"Annual security questionnaires are completed by suppliers. Audit rights are contractually granted. However, no evidence is provided of ongoing monitoring of supplier performance, formal periodic review meetings, or a documented process for managing supplier service changes.","Establish a documented supplier monitoring programme including periodic performance reviews, change notification requirements, and a process to assess the impact of supplier changes on CloudSafe's security posture."
ISO 27001,A.8.2,Privileged access rights,Compliant,Low,SOC 2 report confirms: 'Privileged access management via CyberArk PAM solution.' Vendor questionnaire states quarterly access reviews for all systems and annual recertification for privileged accounts. SOC 2 CC6.1 test found no exceptions across 25 sampled accounts.,"Consider increasing privileged account recertification frequency from annual to semi-annual to align with leading practice, given the sensitivity of financial data processed."
ISO 27001,A.8.3,Information access restriction,Compliant,Low,"SOC 2 report confirms RBAC is implemented across all systems, separation of duties is enforced between development, operations and security teams, and access reviews are conducted quarterly with line manager certification. SOC 2 CC6.2 test (15 new-hire provisioning tickets) found no exceptions.",No immediate action required. Ensure RBAC matrices are formally documented and version-controlled to support audit evidence.
ISO 27001,A.8.5,Secure authentication,Compliant,Low,Vendor questionnaire states MFA is enforced for all employee accounts and is mandatory for remote access and privileged accounts. SOC 2 report confirms 'Multi-factor authentication (MFA) mandatory for all employees.' CC6.1 test found no exceptions.,"No immediate action required. Confirm that MFA is also enforced for customer-facing API access where applicable, and document the authentication policy formally."
ISO 27001,A.8.7,Protection against malware,Gap,Medium,"No evidence of anti-malware controls, endpoint detection and response (EDR), or malware protection policy is present in any of the three documents reviewed.","Provide documentation of anti-malware controls, including endpoint protection solutions deployed, coverage scope, update cadence, and any EDR capabilities in use."
